;retornos;var;es;market
22-07-2020;-0.004435594;0.058069874;0.059569663;D1
23-07-2020;0.044814621;0.060295975;0.061866641;D1
24-07-2020;-0.016110374;0.061004572;0.062598014;D1
27-07-2020;-0.011329331;0.064128962;0.065824432;D1
28-07-2020;0.012883497;0.062480304;0.064121661;D1
29-07-2020;-0.013432017;0.067924225;0.06974627;D1
30-07-2020;-0.01929655;0.06196879;0.06359363;D1
31-07-2020;-0.030501121;0.063916191;0.065604942;D1
03-08-2020;-0.004262695;0.058229802;0.059734832;D1
04-08-2020;-0.004758835;0.060451563;0.062027329;D1
05-08-2020;-0.004792583;0.055249252;0.056661243;D1
06-08-2020;-0.031199592;0.056148863;0.057588514;D1
07-08-2020;0.018069978;0.053205672;0.054554416;D1
10-08-2020;0.00283875;0.061214709;0.062815072;D1
11-08-2020;0.023521939;0.056626556;0.058081007;D1
12-08-2020;-0.017955766;0.066578551;0.068356345;D1
13-08-2020;-0.003027282;0.058826324;0.060351472;D1
14-08-2020;-0.001666574;0.064651928;0.066365783;D1
17-08-2020;0.014811683;0.062259922;0.063894783;D1
18-08-2020;-0.009906946;0.061967978;0.063593028;D1
19-08-2020;0.001945682;0.05553788;0.056959133;D1
20-08-2020;-0.01982222;0.057389424;0.058868898;D1
21-08-2020;-0.036903433;0.051893736;0.0532038;D1
24-08-2020;0.022065546;0.051981625;0.053293822;D1
25-08-2020;-0.001179275;0.05600144;0.057436715;D1
26-08-2020;-0.000624545;0.056690295;0.058146879;D1
27-08-2020;0.01493498;0.052341233;0.053663688;D1
28-08-2020;0.008268335;0.053451838;0.05480833;D1
31-08-2020;-0.009072414;0.049818902;0.051066713;D1
01-09-2020;-0.008104071;0.049060416;0.050285623;D1
02-09-2020;0.046941379;0.049356266;0.050590567;D1
03-09-2020;0.048450961;0.053943643;0.05531677;D1
04-09-2020;-0.011199793;0.058017851;0.059516936;D1
08-09-2020;0.00671635;0.065804944;0.067556438;D1
09-09-2020;0.002492108;0.062204198;0.063837435;D1
10-09-2020;0.059959364;0.053933723;0.055305306;D1
11-09-2020;0.024253065;0.064102092;0.065796951;D1
14-09-2020;-0.004038;0.081740354;0.084052368;D1
15-09-2020;0.025610264;0.061093086;0.062690262;D1
16-09-2020;0.029454319;0.086397248;0.088882663;D1
17-09-2020;-0.002179915;0.092542442;0.095264826;D1
18-09-2020;0.03595688;0.082144446;0.084470014;D1
21-09-2020;-0.054004452;0.086807854;0.08930819;D1
22-09-2020;0.009248626;0.108008539;0.111365088;D1
23-09-2020;0.039478258;0.075646961;0.077736771;D1
24-09-2020;-0.030142811;0.097866515;0.100801722;D1
25-09-2020;-0.034704251;0.091273109;0.093945896;D1
28-09-2020;0.000353352;0.08697701;0.089484493;D1
29-09-2020;0.002270647;0.075086159;0.077156394;D1
30-09-2020;-0.018515133;0.083913613;0.086305467;D1
01-10-2020;0.006510386;0.065797745;0.06754873;D1
02-10-2020;-0.002607486;0.068690195;0.0705387;D1
05-10-2020;-0.021000702;0.06096699;0.062560751;D1
06-10-2020;0.02192979;0.061941159;0.063565779;D1
07-10-2020;-0.001570131;0.061224314;0.062827948;D1
08-10-2020;0.011590807;0.065899192;0.067655955;D1
09-10-2020;-0.015764715;0.057252873;0.058729662;D1
12-10-2020;-0.031909756;0.059451016;0.060996135;D1
13-10-2020;0.035160713;0.056368052;0.057815176;D1
14-10-2020;-0.003229067;0.066126247;0.067888589;D1
15-10-2020;-0.015994756;0.062584998;0.064230327;D1
16-10-2020;0.018810583;0.06863243;0.070479087;D1
19-10-2020;0.032496811;0.066563523;0.068340242;D1
20-10-2020;-0.013445063;0.090360274;0.092997474;D1
21-10-2020;-0.005342749;0.069200991;0.071067026;D1
22-10-2020;0.013807397;0.089911487;0.092531142;D1
23-10-2020;0.010978777;0.070063027;0.071958036;D1
26-10-2020;-0.007776709;0.071039607;0.072968117;D1
27-10-2020;-0.008830842;0.063353745;0.065024007;D1
28-10-2020;0.033005615;0.068093353;0.069921338;D1
29-10-2020;-0.01845746;0.073409216;0.075420155;D1
30-10-2020;0.015467684;0.080017608;0.082264851;D1
02-11-2020;0.004770659;0.067620317;0.069432092;D1
03-11-2020;-0.002878455;0.07971451;0.081950646;D1
04-11-2020;-0.006642054;0.065159728;0.066889132;D1
