;x
16-12-2022;-0.017877419
19-12-2022;-0.019510132
20-12-2022;0.004588961
21-12-2022;0.017223528
22-12-2022;-0.015230433
23-12-2022;0.005785564
27-12-2022;-0.00795455
28-12-2022;-0.028004337
29-12-2022;0.012379782
30-12-2022;0.011730475
03-01-2023;-0.041807258
04-01-2023;-0.004178665
05-01-2023;-0.016421402
06-01-2023;0.024027943
09-01-2023;-0.003285983
10-01-2023;0.003564727
11-01-2023;0.015372471
12-01-2023;-0.005046325
13-01-2023;0.019797184
17-01-2023;0.007060387
18-01-2023;-0.013083657
19-01-2023;0.00668488
20-01-2023;0.018560005
23-01-2023;0.019247201
24-01-2023;0.014737339
25-01-2023;0.005896544
26-01-2023;0.004842424
27-01-2023;0.019101507
30-01-2023;-0.01190602
31-01-2023;0.010107584
01-02-2023;0.011726801
02-02-2023;0.011868374
03-02-2023;0.044773405
06-02-2023;-0.005589813
07-02-2023;0.025170818
08-02-2023;-0.013324549
09-02-2023;-0.019299477
10-02-2023;0.011522496
13-02-2023;0.018476975
14-02-2023;0.004755721
15-02-2023;0.012491392
16-02-2023;-0.000430384
17-02-2023;0.000752925
21-02-2023;-0.011353386
22-02-2023;-0.003545054
23-02-2023;-0.005918044
