dts,jumps_1,jumps_2,jumps_3,jumps_4,jumps_5
12/09/2003,-0,0.000165705289154128,7.0617227810026e-05,0,6.96483311773595e-05
15/09/2003,0,0,-0,-0,0
16/09/2003,0.000125133250602543,0,0,-0,0
17/09/2003,0,0,0,0,0
18/09/2003,0,0,0,0,0
19/09/2003,0.000168870602144532,0,0.000139738496954405,-0,0
22/09/2003,7.31514698080573e-05,-0,0,-0,0
23/09/2003,0,0.000210943134531046,0,0,0
24/09/2003,0,0,0,-0,0
25/09/2003,-0,0,-0,-0,-0
26/09/2003,0,-0,-0,-0,0
29/09/2003,0,-0,0,0,-0
30/09/2003,0,-0,-0,-0,-0
01/10/2003,0.000382453910294021,-0,0,-0,0
02/10/2003,0,0,-0,-0,-0
03/10/2003,0,0,0.000100158994451261,0,0
06/10/2003,5.95679246611717e-05,-0,0,0,4.5725224762191e-05
07/10/2003,0,0,0,-0,-0
08/10/2003,7.98396557671885e-05,0,-0,-0,4.21013691170839e-05
09/10/2003,0.000261309782578749,0,0,-0,-0
10/10/2003,0,0,0,0,0
13/10/2003,0,0,0,-0,2.58954357192879e-05
14/10/2003,0,0,0,0,-0
17/10/2003,0.000334633992770952,-0,0,-0,-0
20/10/2003,-0,0,0,0,0
21/10/2003,0,0,-0,8.51860560821989e-06,0
22/10/2003,-0,0,0,0,0
23/10/2003,0,0.00020374623780836,0,-0,0
24/10/2003,-0,0,8.03889918938717e-05,0,8.88653533122479e-05
27/10/2003,0,-0,6.40671309176877e-05,0,0
28/10/2003,0,-0,0,0,0
29/10/2003,-0,0,0,0,2.69420865923633e-05
30/10/2003,0,0,0,1.21585592785637e-05,-0
31/10/2003,9.81926646959239e-05,0,0,0,4.30629807982623e-05
03/11/2003,7.11012495287598e-05,8.44804046777519e-05,0,0,-0
04/11/2003,0.00015681163594635,-0,0,0,0
05/11/2003,0,0,0,-0,4.5576140948937e-05
06/11/2003,5.44885464630437e-05,9.14168294512455e-05,0,0,0
07/11/2003,0,0,0.000418119549459093,0,0
10/11/2003,0,0,-0,0,-0
11/11/2003,0,-0,0,1.39767161487531e-05,-0
12/11/2003,0,0,0,-0,4.72195791242794e-05
13/11/2003,0,0,-0,0,3.04608808452379e-05
14/11/2003,-0,-0,5.85789382521571e-05,0,0
17/11/2003,0,0,0,0,-0
18/11/2003,-0,0,0,1.2131339117437e-05,-0
19/11/2003,0,0,0.00010149814260998,2.78826614801983e-05,-0
20/11/2003,0,0,0,0,0
21/11/2003,0,0,-0,0,3.38009279921862e-05
24/11/2003,0.000344305416705187,-0,0.000222790742787832,0,0
25/11/2003,0,0,0,0,0
26/11/2003,0.000196285274149871,0,0,-0,0
01/12/2003,0,9.942262272438e-05,0,0,-0
02/12/2003,0.000116727240029082,-0,0,1.26634235617018e-05,0
03/12/2003,0,0,7.27207914672594e-05,-0,0
04/12/2003,0,-0,3.37562507675872e-05,0,0
05/12/2003,0,0.000166705818866996,0,0,0
08/12/2003,0,0.000181311854622323,0,0,0
09/12/2003,0,-0,-0,0,-0
10/12/2003,0.000293649346508739,0.00022443728472417,0,0,0
11/12/2003,0.00013258707194131,-0,-0,0,0
12/12/2003,0,0,0,-0,2.3209494823877e-05
15/12/2003,0,-0,0,0,0
16/12/2003,0,0.000204482241372862,0,0,0
17/12/2003,0,0.000190458465398799,0,0,0
18/12/2003,4.21386725049969e-05,0.000136480630635086,-0,0,0
19/12/2003,0.000267677148670838,9.19269707117298e-05,-0,-0,7.07089387112841e-05
22/12/2003,0.000279442536722863,9.78870566594627e-05,5.06948583468279e-05,0,0
23/12/2003,5.00319792654553e-05,0,0,0,4.56157489335762e-05
29/12/2003,0,0,3.04357293425615e-05,-0,1.6024630356001e-05
30/12/2003,0,2.99976320128608e-05,0,-0,0
31/12/2003,0,0,0,0,0
02/01/2004,0,0,0,0,0
05/01/2004,0.000113258421157107,-0,0,-0,0
06/01/2004,0.000121764860002412,0,0,0,2.00250582660494e-05
07/01/2004,0,0.000175844099820091,0,0,0
08/01/2004,0.000196713057832394,0,0,0,2.80034411832351e-05
09/01/2004,0,0,-0,0,0
14/01/2004,0,0,-0,-0,-0
